Link,Id,Product_Category,Product_Name,Rating,Review_Rating,Review_Title,Review_Text,Review_Date
https://www.amazon.com/CAT-EYE-Computer-Odometer-Speedometer/dp/B007YV1GM4,18,Sports and Outdoor,"CATEYE, Velo 7 Wired Bike Computer with Odometer and Speedometer",4.5,5,simple,"I think this is my 5th CatEye bike computer (I can't stop buying bikes) and by far the least expensive and most simple.  Previous models have been wireless but after spending a lot of time trouble shooting a model with a second wireless sensor with cadence I was burnt out on it and wanted a simple hard wired unit that records basic data (time duration, average speed, trip odometer and odometer that doesn't reset with other data).  The only other thing I really wanted in the computer was that it would auto pause when not moving so I didn't have to remember to turn it on or off when stopping for a break or stoplight.

This computer does all of that with a large display and low price tag.",03-04-2013
https://www.amazon.com/CAT-EYE-Computer-Odometer-Speedometer/dp/B007YV1GM4,18,Sports and Outdoor,"CATEYE, Velo 7 Wired Bike Computer with Odometer and Speedometer",4.5,5,Basic and effective,"The CatEye Velo 7 installation instructions were easy to follow and made it simple to install on a bike. The numbers are easy to read while biking and the screens are easily changed by pressing the black button which can be done even if the rider wears thick gloves. The information provided is basic (time of day, distance travelled, average/top speed, and odometer). The auto stop feature works well. This computer works for only 1 bike at a time and the information cannot be uploaded onto a PC. For those who want a basic and easy to use bicycle computer, this one is very good and reasonably priced.",02-20-2013
https://www.amazon.com/CAT-EYE-Computer-Odometer-Speedometer/dp/B007YV1GM4,18,Sports and Outdoor,"CATEYE, Velo 7 Wired Bike Computer with Odometer and Speedometer",4.5,5,good product from CATEYE as usual,"I received this bike computer as shedule. I bought a new MTB bike and being a little tired of wireless computer - problem with battery - I order and install this easy and usr friendly computer and it work very, no need to remember 100 page manual.",01-10-2013
https://www.amazon.com/CAT-EYE-Computer-Odometer-Speedometer/dp/B007YV1GM4,18,Sports and Outdoor,"CATEYE, Velo 7 Wired Bike Computer with Odometer and Speedometer",4.5,4,Great value for a basic cycling computer,"Pros:  Clear, easy to read display; Auto on/off; Easy one-button operation; Mounting bracket may be mounted on the stem or the handlebar; Easy installation and setup (especially if you've used an older Cateye model); User manual is downloadable from the Cateye site so that you don't have to keep track of the paper manual when you need to reset to a different tire size or change battery

Cons:  The computer attaches to the mounting bracket using friction only (no release button), so I'm not sure if it would work well for serious mountain biking, but it's fine for road or trail riding.  The wiring is not as heavy duty as the older models, so you want to make sure that you follow the instructions and route your wiring with enough slack to avoid pulling it when you turn the handlebar.

Overall, this cycle computer is a great value considering that it doesn't cost much more that the discount store models.  It works great and, short of being abused, should give years of service.  I wouldn't hesitate to buy another one if I get another bike.",11-20-2012
https://www.amazon.com/CAT-EYE-Computer-Odometer-Speedometer/dp/B007YV1GM4,18,Sports and Outdoor,"CATEYE, Velo 7 Wired Bike Computer with Odometer and Speedometer",4.5,5,Five Stars,I love it.,06-05-2018
https://www.amazon.com/CAT-EYE-Computer-Odometer-Speedometer/dp/B007YV1GM4,18,Sports and Outdoor,"CATEYE, Velo 7 Wired Bike Computer with Odometer and Speedometer",4.5,5,Tells me what I want to know,"Don't be cheap and buy a different brand. Like I did years ago. I am mostly a pleasure biker who uses the bike to stay in shape as well. Meaning....I am not a snobby bike show off trying to impress people with a $3000 bike and fancy tight bike shorts. This product tells me what I to know...distance and time. It does more. I don't care how fast I go. I put this on a good mountain. With street slick tires and upgraded brakes it's a fun street bike and this product makes it even more enjoyable. Seems well made and was easy to install and set up.
If I buy a road bike as I would like to i will buy another one of these. I will not get fancy bike shorts but if I did I'd look awesome trust me.",05-31-2018
https://www.amazon.com/CAT-EYE-Computer-Odometer-Speedometer/dp/B007YV1GM4,18,Sports and Outdoor,"CATEYE, Velo 7 Wired Bike Computer with Odometer and Speedometer",4.5,2,Not waterproof,"Definitely not water proof. Bike got rained on while traveling in vehicle. Computer safely stored inside vehicle but something must have got wet in the bracket component on the bike because the computer now only shows mph, etc. intermittently.",05-30-2018
https://www.amazon.com/CAT-EYE-Computer-Odometer-Speedometer/dp/B007YV1GM4,18,Sports and Outdoor,"CATEYE, Velo 7 Wired Bike Computer with Odometer and Speedometer",4.5,5,Easy installation,All I need. Easy installation,05-29-2018
https://www.amazon.com/CAT-EYE-Computer-Odometer-Speedometer/dp/B007YV1GM4,18,Sports and Outdoor,"CATEYE, Velo 7 Wired Bike Computer with Odometer and Speedometer",4.5,4,It took me about 20 minutes to install have to find the sweet spot in all And the price was right,"This is my first bike computer, the installation was user friendly. It took me about 20 minutes to install have to find the sweet spot in all  And the price was right, I would recommend the CatEye , it covers all the needed modes for biking.",05-28-2018
https://www.amazon.com/CAT-EYE-Computer-Odometer-Speedometer/dp/B007YV1GM4,18,Sports and Outdoor,"CATEYE, Velo 7 Wired Bike Computer with Odometer and Speedometer",4.5,3,Really really bad instructions. Really bad setting procedures.,"Really really bad instructions that are close to useless.  I had to find out from an Asian on You Tube how to do it in English subs.  It works so far, but I'll see when I ride it.",05-12-2018
https://www.amazon.com/CAT-EYE-Computer-Odometer-Speedometer/dp/B007YV1GM4,18,Sports and Outdoor,"CATEYE, Velo 7 Wired Bike Computer with Odometer and Speedometer",4.5,5,Awesome!,Easy to install and it works great on my Apollo Pit Bike.,05-08-2018
